Player,Team,Position,Apps,Mins,Goals,Assists,YelCard,RedCard,SpG,PS,AerialsWon,MotM,Ratting
Lionel Messi,"PSG,",", AM(CR),FW",13,1132,7,10,-,-,4.3,83.4,-,7,8.65
Neymar,"PSG,",", AM(CLR),FW",12(2),1085,11,9,3,-,2.4,82.6,0.1,2,7.96
Erling Haaland,"Man City,",", FW",12(1),1041,18,3,2,-,4,76.5,1,3,7.90
Kylian Mbappé,"PSG,",", AM(LR),FW",13(1),1146,12,2,2,-,4.3,84,0.4,1,7.87
Kevin De Bruyne,"Man City,",", M(CLR),FW",13(1),1135,3,9,-,-,2.4,79.5,0.4,5,7.76
Martin Terrier,"Rennes,",", AM(CL),FW",14,1204,8,3,-,-,3,76.4,4,7,7.76
Robert Lewandowski,"Barcelona,",", FW",13(1),1068,13,4,-,1,3.6,80,1.1,7,7.73
Joshua Kimmich,"Bayern,",", D(CR),DMC,M(R)",14(1),1277,2,3,3,-,1.2,89.2,0.7,1,7.67
Rémy Cabella,"Lille,",", M(CLR),FW",8(1),724,3,5,-,-,1.2,86.4,0.2,1,7.65
Jamal Musiala,"Bayern,",", M(CL)",12(2),1000,9,6,-,-,2.6,83.9,0.5,3,7.64
Kieran Trippier,"Newcastle,",", D(LR),M(R)",15,1327,1,3,3,-,0.4,77.3,1.2,5,7.60
Gabriel Jesus,"Arsenal,",", AM(LR),FW",14,1226,5,5,4,-,3.6,81.9,1.7,2,7.59
Khvicha Kvaratskhelia,"Napoli,",", AM(CLR)",11(1),876,6,5,-,-,2.8,81.6,0.2,4,7.55
Harry Kane,"Tottenham,",", AM(C),FW",15,1338,12,1,4,-,3.7,73.3,1.2,2,7.47
Marcus Thuram,"Borussia M.Gladbach,",", AM(L),FW",15,1350,10,3,2,-,3.7,73.3,1.3,3,7.45
Jude Bellingham,"Borussia Dortmund,",", M(CLR)",15,1350,3,2,4,-,2.1,82.5,1.5,4,7.45
Vinícius Júnior,"Real Madrid,",", AM(L),FW",14,1231,6,3,3,-,2.6,82,-,2,7.44
Alexandre Lacazette,"Lyon,",", M(CLR),FW",15,1303,9,3,2,-,3.1,73.1,0.7,2,7.44
Christopher Nkunku,"RBL,",", M(CLR),FW",14(1),1283,12,-,1,-,2.9,82.6,0.8,5,7.43
Niclas Füllkrug,"Werder Bremen,",", FW",14,1219,10,2,4,-,3.3,62.5,5.1,4,7.42
Aleksandar Mitrovic,"Fulham,",", FW",12,1021,9,-,4,-,4.7,57.2,5.2,3,7.42
Enzo Le Fée,"Lorient,",", M(CLR)",15,1334,2,3,1,-,1.3,84.8,0.4,3,7.42
Victor Osimhen,"Napoli,",", FW",10(1),905,9,2,1,-,4.4,74,2.3,2,7.42
Sergej Milinkovic-Savic,"Lazio,",", AM(C)",13(1),1157,3,7,6,-,1.5,76.3,2.2,3,7.41
Vincenzo Grifo,"Freiburg,",", AM(CL)",14(1),1130,9,2,-,-,2.3,80.1,0.4,3,7.41
Dango Ouattara,"Lorient,",", AM(LR)",14,1197,5,4,1,1,2.7,65.9,1.9,2,7.40
Florian Sotoca,"Lens,",", AM(CR),FW",14(1),1239,6,5,3,-,2.8,81,1.3,3,7.40
Rodrygo,"Real Madrid,",", AM(CLR),FW",10(2),914,4,4,1,-,3.3,88.1,0.7,1,7.40
James Maddison,"Leicester,",", AM(CLR)",13,1100,7,4,5,-,3,84.2,0.2,3,7.39
Martin Ødegaard,"Arsenal,",", AM(CR)",13,1083,6,2,2,-,2.3,81.3,0.5,3,7.38
Phil Foden,"Man City,",", AM(CLR),FW",11(3),911,7,3,1,-,1.9,85.6,0.6,-,7.37
Paulo Dybala,"Roma,",", AM(CR),FW",8(1),601,5,2,2,-,2.9,82.8,0.2,2,7.36
Michael Gregoritsch,"Freiburg,",", AM(CR),FW",15,1128,6,3,2,-,2.5,56,4.9,3,7.36
Bukayo Saka,"Arsenal,",", D(L),M(CLR)",14,1179,4,6,3,-,2.1,83.9,0.3,1,7.35
Gabriel Martinelli,"Arsenal,",", AM(L),FW",14,1187,5,2,1,-,2.4,85.1,0.4,1,7.35
Federico Valverde,"Real Madrid,",", M(CLR)",12(2),1108,6,2,1,-,2.2,89.5,0.9,3,7.35
Rodri,"Man City,",", DMC",13,1125,-,3,1,-,1.5,91.1,2.7,-,7.34
